local_id	kind	name_heb	name_rom	wikidata_qid	occurrences	n_editions	match_status	grade	confidence	sound_match	flags	kima_id	kima_name_rom	kima_name_heb	distance_km	candidates	kima_url	context_sample	decision	chosen_kima_id	reviewer_notes
ED::מדינת	edition_only	מדינת			6	2	no_match	C_review	0.0									…ם שנשתייר מהם פסולת ג״כ ישמעאל ועשו. אבל יעקב אבינו היתה מטתו שלימה וידוע שכמעט כל תלמידי רבינו הרבי מלובלין ממדינת פולין נשתיירו אצל הרבנים הגדולים הקדושים המפורסמים בניו של רבינו היהודי ובפרט אצל תלמידו הרב הקדוש המפורסם רב… ⟦SEP⟧ …ושבו בעיר טאסט שקורין טלוסט. הסמוכה לעיר טשארטקוב. וזה הי׳ בעת הי			
ED::ע	edition_only	ע			6	2	no_match	C_review	0.0									"סיפר הרב הגדול חסידא ופרישא ר׳ מאיר יהושע זצ""ל האבד״ק קלימנטוב כי פעם אחת ביום הושענא רבה בא השוחט לבית חותנו הרב הקדוש המפורסם הרבי ר׳ ליביש מאפלע ומא… ⟦SEP⟧ של אדמו״ר הגה״ק מגור זי״ע. דיבר בשבח הנפטר מרן הק' זצ""ל ואמר שהשלים עבודתו במשך ימי חייו. עד שלא הי' לו עוד עבודה בעוה״ז. וסיפר כי הגה""… ⟦SEP"			
ED::לעפלע	edition_only	לעפלע			6	2	no_match	C_review	0.0									"…לא תסיח דעתך ממנו עד תביא אותו לכאן אאמין לך ואאכול וימצא הרב חן בעיני השר וירתום סוסיו ויסע להגבי' ר' מרדכי מלעפלע אשר הי' אז בפ""ב ויאמר לו בעוד שעה תכין לו צנון מרוקח בדבש בקדירה חדשה והגביר ר׳ מרדכי מלעפלע הי׳ מכירו כי הוא… ⟦SEP⟧ …ו כי היה אז גבור כארי : ואף כי המפורסם אין צריך ראיה עכ""ז אציג לפ"			
ED::האכסניא	edition_only	האכסניא			6	4	fuzzy	C_review	0.667							18103		"…תחו החסידים ואמרו להצדיק שהצעטיל הזאת הוא של הבעה״ג שלהם והוא איש פשוט אמר להם אפשר הוא זורח לנו רק עתה ובאו להאכסניא שלהם והבע״ג לא היה שם ובבוקר בא ושאלו אותו היכן הייתם בלילה הזאת אמר להם ששמע שיש חתונה פה והלך על החתונה והי… ⟦SEP⟧ הדלת לילך להעיר ובעל עגלה אחד עם אנשים נסעו אז להאכסניא הנ""ל ואמ"			
ED::רוטשעוואהל	edition_only	רוטשעוואהל			6	1	no_match	C_review	0.0									"…ז הגה״ק מ׳ ארי׳ ליבש פרץ מלוברטוב הי' העוזר להגה״ק בעל קדושת לוי להתחבר עצמו לזקיני הגה""ק הרר״ש שהי' אז אבד״ק רוטשעוואהל אשר הי' הראשון להמשיך רבים אליו בפולין קטן עכ״ל. וש""ב הגאבד״ק סעראצק כ׳ וז״ל הג״מ קאפיל מיוזעפאן חתן הרה״ק ר׳… ⟦SEP⟧ …מגיד. ולא יכלו ליכנס. והכשר. ותלמידיו צעקו שטריפה וגם מורה ה"			
ED::נ	edition_only	נ			6	2	no_match	C_review	0.0									"כז) בס׳ שבע רצון (דף ג׳) מובא מה שסיפר הה״ק מ׳ דובערש אבד״ק אושפצין מה ששמע מרבו הה״ק ר׳ שלמה הרב מקשאנוב. כי אחר חתונתו בהיות דירתו ביענדריחוב. בעת ההוא נשמע כי הגה״ק רר״ש נתמנה לניקלשפורג לרב. אז אמרה אליו זוגתו… ⟦SEP⟧ בליעל דק״ק נ״ש הוא בן עוה״ב כי הי׳ לו יסורים גדולים מאנשי נ""ש על אשר לא רצו לצי"			
ED::מעהרין	edition_only	מעהרין			6	3	no_match	C_review	0.0									"…וכו׳. והנה בבואו חזרה מפ״פ טרם שבא לידי נשואין יצא חוק מהמלכות שאין רשות ליליד מחוץ למדינה לקבוע דירתו במדינת מעהרין. ועי״ז עלה ספק בלבו יען כי עיקר כוונתו וחפצו בהתקשרות שידוך זה הי׳ רק למען יוכל לישב עה״ת והעבודה. ועתה יהי' … ⟦SEP⟧ 175 בס׳ מגילת יוחסין למהר""ל וז""ל. הגאון מהר""ל מפראג נהג נשיאותו ב"			
H-LOC_257	authority	קארסטשוב	Korostyshiv	Q149190	5	3	fuzzy	C_review	1.0							71244		"מעשה עלילה דק""ק פאווליטש וברח הרב דק""ק קארושטיסאב הנקרא בשמו רבי דוד ורצה לברוח עד מדינות וואלחאי כי כל האנשים חשובים אשר סביבותיהם היו מתפחדים שלא יעלילו גם ע… ⟦SEP⟧ מעשה עלילה דק""ק פאווליטש וברח הרב דק""ק קארושטיסאב הנקרא בשמו ר׳ דוד ורצה לברוח עד מדינות וואלאחאיי כי כל אנשים חשובים אשר סביבותיהם ה"			
H-LOC_323	authority		Lyubavichskiy		5	3	no_match	C_review	0.0									"…אשר בשני הימים האלו נפדו הרבנים הקדושים ר׳ אהרן הלוי משטראשעלע תלמיד מובהק של הרב הקדוש הנ""ל ובנו ר' דוב בער מליבאוויטש אשר מסר אותם יליד וויטעפסק והיה לפנים משועי ואצילי העיר ההוא חרה אפו על עדת החסידים והלשין את שני הרבנים הנ""ל… ⟦SEP⟧ כשבא הרב הצדיק מוה׳ מנחם מענדיל מליבאוויטש מנסיעתו מעיר המלוכה"			
H-LOC_529	authority	ארץ הקדושה		Q23792	5	3	no_match	C_review	0.0									"העתק האגרת שכ׳ הרב הקדוש ר׳ ישראל בעש״ט זלה""ה לארץ הקדושה בר""ה שנת תק""ז ⟦SEP⟧ מהבעש""ט ז״ל בסטאמביל נודע לכל ומפורסם הנסיעה מהבעש״ט ז""ל לארץ הקדושה כי רצה לראות א״ע עם הרב הקדוש בעל ספר אור החיים ומן השמים עכבוהו והיה לו צרות גדולות בדרך עד שפעם אחת נעצב וס… ⟦SEP⟧ אביו של הה״ק ר׳ יצחק הנ״ל הי׳ שמו הה"			
