full_tag	top_tag	sub_tag	n_stories	n_editions	top_cooccurring	examples
ethics-and-emotions:lust	ethics-and-emotions	lust	22	7	ethics-and-emotions:prohibitions(17); supernatural:perception(15); ethics-and-emotions:repentance(13); women:minor_character(10); social:inter_hasidic_master_disciple_relationship(8)	Adat-Zadikim_0009; Adat-Zadikim_0013; Adat-Zadikim_0014
experience:devekut	experience	devekut	22	6	practice:devekut(22); social:inter_hasidic_master_disciple_relationship(15); women:minor_character(8); characters-and-roles:the_family_of_the_tsaddik(8); social:inter_hasidic(8)	Khal-Hasidim_0004; Khal-Hasidim_0005; Khal-Hasidim_0058
practice:healing_of_the_soul	practice	healing_of_the_soul	22	6	supernatural:communicating_with_the_invisible(12); supernatural:perception(11); ethics-and-emotions:repentance(10); practice:prayer(10); ethics-and-emotions:punishment(9)	Adat-Zadikim_0009; Adat-Zadikim_0014; Adat-Zadikim_0017
social:poverty	social	poverty	22	7	characters-and-roles:the_family_of_the_tsaddik(14); women:minor_character(13); practice:study(12); supernatural:perception(10); practice:prayer(10)	Adat-Zadikim_0001; Khal-Hasidim_0002; Khal-Hasidim_0009
supernatural:pregnancy	supernatural	pregnancy	22	5	women:mention_only(11); supernatural:prognostication(8); social:inter_hasidic_master_disciple_relationship(8); characters-and-roles:the_family_of_the_tsaddik(8); supernatural:perception(7)	Adat-Zadikim_0001; Khal-Hasidim_0051; Khal-Hasidim_0061
ethics-and-emotions:lying	ethics-and-emotions	lying	20	7	supernatural:perception(12); social:inter_hasidic_master_disciple_relationship(9); social:conflict(8); supernatural:communicating_with_the_invisible(7); ethics-and-emotions:fear(7)	Adat-Zadikim_0004; Adat-Zadikim_0013; Khal-Hasidim_0023
folkloristics:story_type_virtues	folkloristics	story_type_virtues	20	4	ethics-and-emotions:virtues(17); ethics-and-emotions:charity(7); ethics-and-emotions:humility(4); practice:pidyon_nefesh(3); practice:prayer(3)	Adat-Zadikim_0005; Adat-Zadikim_0006; Adat-Zadikim_0007
practice:releasing_agunot	practice	releasing_agunot	20	6	supernatural:perception(12); practice:study(10); ethics-and-emotions:punishment(9); ethics-and-emotions:prohibitions(9); social:marriage(9)	Adat-Zadikim_0024; Khal-Hasidim_0002; Khal-Hasidim_0115
practice:ritual_slaughtering	practice	ritual_slaughtering	20	4	characters-and-roles:ritual_slaughterer(13); supernatural:perception(12); women:minor_character(8); social:conflict(8); practice:prayer(7)	Adat-Zadikim_0010; Khal-Hasidim_0014; Khal-Hasidim_0019
experience:visions	experience	visions	19	4	practice:study(10); social:inter_hasidic_master_disciple_relationship(10); supernatural:perception(9); knowledge:esoteric(7); spaces:heaven(7)	Adat-Zadikim_0018; Adat-Zadikim_0019; Khal-Hasidim_0008
